title,number,score,text
콰이어트 플레이스 2,17583204,6,"중반부가 너무 루즈했고, 어디서 뭐가 튀어나올지 다 예상이가서 좀 공포영화 안 같았음... 진심으로 놀란건 한 번 인듯..."
콰이어트 플레이스 2,17583203,10,간만에 볼 영화 하나 건졋음
크루엘라,17583202,10,이런 영화를 볼 수 있다는 것이 행복하다.
포비아,17583201,5,단편 모음집인데 두번째 작품이 제일 나은 것 같고 전반적으로 크게 오싹하지 않음. 오버하니까 흡입력이 떨어지고 대사가 자연스럽지 않으니 몰입도 잘 안 됨.
젠틀맨,17583200,10,진짜 범죄의 품격이라는 말이 잘 어울리는 영화ㅋㅋ 개인적으로 가이리치 감독 영화 중에 젤 재밌는듯
패신저스,17583198,10,뻔한전개 예상된 결말하지만 내 인생에 답을 준 영화뻔한인생 예상된 결말
제8일의 밤,17583197,6,"누군가 곡성과 비슷하다고 했는데 곡성을 따라갈수 있는 영화는 아닌거같고,평점과 같이 엉망진창은 아니고 킬링 타임으로 볼만은 합니다."
코러스,17583196,10,학교 음악실의자가 영화관처럼 돼있어서 딱 자기 좋은데 그런데도 집중을 하게 해줬던 명작
캐시트럭,17583195,8,가이리치 감독 특유의 뭔가 차가우면서도 고급진 느낌이 제이슨 스타뎀이랑 잘 어울리는거 같음ㅋㅋ
오케이 마담,17583194,10,갑만에 코믹영화 재밋게봣어요~
사자,17583193,2,;;;; 너무 유치...
제8일의 밤,17583192,2,이말년이 의식의 흐름대로 스토리 짰어도 이보다 짜임새 있을것.
소스 코드,17583191,10,이거 완전 어른들을 위한 스릴러 동화...ㅠㅠ
괴기맨숀,17583190,10,잘 만든 한국 공포영화옴니버스가 전부 재밌어요
"안녕,헤이즐",17583189,10,오랜만에 본 따뜻하고 잔잔한 영화였습니다.
아임 낫 데어,17583188,8,양손과 양발을 모두 자유자재로 움직이며 서로 다른 정교한 그림을 그릴 수 있는 창의성과 섬세성.
제8일의 밤,17583187,8,무섭지 않은 공포영화를 보고 싶다면. 인디아나존스와 콘스탄틴을 적절히 섞은 듯 한 느낌이에요. 그래도 전 재밌게 봤음.
더 플랜,17583186,3,저열하고 천박한 선동. 통계를 조금이라도 아는 이들에게는 눈가리고 아웅.
미몽,17583185,10,문예봉의 연기력이 돋보이는 작품
괴기맨숀,17583184,10,무섭기만하구만!! 아예가리고볼정도는아닌데 나올거같은장면에서 몇번을눈가리고힘줬는지 모르겠네유  공포영화야 스토리가  개연성없는게워낙먆은데 이건 그래도흐름대로가는느낌이라 신경도안쓰였음 사람이젤무서움...리뷰에 분장이어색하다 이러는데 걍 그분위기자체가무서워서신경안쓰임 추천이요
곡성(哭聲),17583183,10,갓 띵작...  이 정도는 되야 하나 봅니다. 최고.
체르노빌 1986,17583182,10,실화를 바탕으로 한 영화라서 그런지 가슴이 아프네요.우리나라도 언제든지 일어날수 있다 생각하면..무서워요
남한산성,17583181,10,이 영화 개명작인데흥행실패해서 아쉽네
장화홍련전,17583180,10,고전영화 치고 정말 잘 만든 것 같습니다.
마크맨,17583179,2,"지금 보고 있는데, 하.... 짜증난다. 아까운 내 시간..."
배드 사마리안,17583178,7,진짜 기대안했는데 볼만하다.내가 만약 주인공이였다면...이라는 생각을 가정해서 몰입하게된다. 심장쫄깃함
셔터,17583177,10,21년도에도 이 비슷하게 무서웠던 영화는 없음. 하... 내가 늙은거겠지? 왜 이만큼의 공포가 느껴진 영화가 없으까
포카혼타스,17583176,10,볼 때마다 감동적... 바람의 빛깔 ost 부를 땐 눈물남... 95년도 영환데 이정도면 9점 넘어도 되잖아요 솔직히 ㅠㅠㅠㅠ
제8일의 밤,17583175,10,배경음악이나 효과 등이 아쉽긴 했는데 전체 스토리나 배우 연기 등이 좋았어요. 8일동안 징검다리를 밟고 온다는 설정이 신선했어요.
컨저링 3: 악마가 시켰다,17583174,10,재미있게 봤음. 몰입도 나름 괜찮았고..실화베이스가 무섭기가 어렵다는 점은어느정도 감안 필요
제8일의 밤,17583173,10,영화도 잘모르고 집중력도 없어서 초반 5분보고 끄는 영화가 대다수인데 시간순삭한것처럼 몰입해서 봤네요!! 이성민배우님연기는 정말 탑입니다!! 연기잘하는배우님들이 뭉치니 멋진영화가 나온듯합니다. 감사합니다. 잘봤습니다^^
지구를 지켜라!,17583172,10,최고다 요즘도 음모론으로 치부될 내용을 저당시에 만드네
승리호,17583171,1,노잼.  억지로 국뽕 짜내서 10점 주긴 시름. 얼마나 영화가 별로면 사람들이 ‘이야 기술은 좋네! 이러면서 7-8점 줄까? 감독 반성해라
발신제한,17583170,9,조우진씨 연기가 너무 인상 깊었습니다. 미세한 근육 떨림부터 섬세한 연기가 영화를 더 돋보이게 한 거 같아요. 하지만 스토리 중에서 약간의 서사성이 떨어지는 부분이 존재하는 거 같아서 조금의 아쉬움이 있었지만 다들 한 번씩 보셔도 좋을 거 같은 영화입니당
비와 당신의 이야기,17583169,10,잊어버린 내 20대 감성을 영화에서 강소라가 먹던 오뎅꼬지로 세리막 후벼파는구나
"불량소녀, 너를 응원해!",17583168,10,
제8일의 밤,17583167,1,"중간중간 이해 되지 않는 부분이 많았고, 반전이라고 넣은 내용이 민망할 정도로 몰입되지 않았습니다.. 2시간이 참 길었던.."
블라이스 스피릿,17583166,10,흥미있고 음악도 좋은 유쾌한 영화였음.
이보다 더 좋을 순 없다,17583165,8,이거  무삭제  원판있다는데
클래식,17583164,10,오랜시간이 흐른 후 다시 봤어요. 너무나 아름다운 영화.
파이프라인,17583163,7,상황전개가 빨라서 지루하진 않은데 좀 유치하다는... 코메디장르라 어쩔수 없나봄.ㅎ
"나는 내일, 어제의 너와 만난다",17583162,10,가슴 먹먹해지고 너무 아름다운 영화ㅜㅜ
퍼스트 어벤져,17583161,10,이게 왜 7점인거지ㅠㅠ 무조건 10점. ㅠ
제8일의 밤,17583160,8,쫀득쫀득 나쁘지 않았는데 평점이 이렇게까지 안좋을 일?ㅋㅋ 넷플릭스로 치맥하면서 보기에 너무 좋았습니다 재밌구먼ㅋㅋ 평점 너무 안좋아서 굳이 남기네요
컨저링 3: 악마가 시켰다,17583159,10,"1,2,3 다 봤지만 2번째로 무서운거 같음 무서운건 2가 더 무서웠던거 같은데 굉장히 잘 만든 작품같음 랑종이나와서 곧 뭍히겠지만 ^_^"
미드나이트,17583158,2,주인공 죽기를 바라기는 처음인 영화아 고구마 욕 나옴
발신제한,17583157,5,개인적으로 지창욱의 사연이 더 공감돼서 지창욱은 살고 조우진이 죽는 결말을 원했어요
발신제한,17583156,4,억지로 늘리는 느낌 개 발암 와이프 딸그냥 바닷가에서 끝날 수 잇는 부분 억지로 늘린거 개빡침 감성주의들은 괜찮아도 현실적인 사람들 개빡
미드나이트,17583155,2,2021년 대한민국 시내 한 복판에서 결코 일어날 수 없는 연출. 답답함의 극치!합리성과 설득력을 상실한 영화.
크리미널 스쿼드,17583154,10,영화 히트가 생각났음. 이런 영화 정말 좋아함. 마지막 반전도 백미.
이웃집 토토로,17583153,10,상처를 많이 받았나봐요ㅜㅜ.. 마음이 편해지는 영화였어요.
"힘을 내요, 미스터 리",17583152,2,유일하게 보다가 잠든영화
익스팅션 - 종의 구원자,17583151,2,지금 1/3 쯤 보다가 암걸려서 왔는데 X발 나만 저 애새끼들 짜증나는거 아니였어;;애새끼들에 이어서 여자들 하는 짓거리들도 발암캐에다가 진짜 개좉OO 콜라보임;;진짜 어느나라 불문하고 여자는 발암캐네
제8일의 밤,17583150,8,이걸 왜 1점주는지 이해가 안가네 ㅋㅋ 영화 보는내내 졸았나  ??영화감상할꺼면 자기딴에 재미의 기준을 두지말고 봐야하는건데나름 신선합니다 근데 아쉬운건 스토리가 엄청 방대한거같아서 한편으로는 아쉬움검은사제들 사바하 이후론 퇴마영화중에선 재밌게 봄 개인적으론 추천
용서받지 못한 자,17583149,10,지금방금 넷플릭스에서 제8일의밤인가 보다 짜증나서 이거봤는데!!개소름!!최고다!!근데 허지훈역활을 감독이했네?!!!진짜연기잘했음!!진짜 고문관 같았음!!
미드나이트,17583148,1,진기주 연기만 볼만 하고 영상 내용 개 답답합니다 암 걸리고 싶으신 분들만 보세요
기기괴괴 성형수,17583147,8,성형의 무서움....
마녀 배달부 키키,17583146,10,역시 지브리 !!!!센과 치히로에 행방불명  보다마녀배달부키키가  재미있습니다!!!
곤지암,17583145,9,
제8일의 밤,17583144,2,처음부터끝까지 주인공 발암영화;;
크루엘라,17583143,2,오글거림. 흔한 스토리.
제8일의 밤,17583142,1,킬링타임용 이게머람..
클로이,17583141,10,처음 봤을 때는 그저 흥미로운 내용과 두 여배우의 아름다운 몸매 감상하는 맛으로 충분히 재밌었지만 다시 볼 때마다 연출이 뭔가 서툰게 아닌가 싶다. 영화가 전반적으로 현실적이기보다는 중년의 마음과 클로이라는 상징적인 캐릭터를 소재로 한 오묘한 어떤 설화와 같은 느낌이다. 상당히 자극적으로 다가와야 할 부분도 잔잔하게 다가오게끔 연출을 했다. 영화의 내용을 평가할 때 줄리앤 무어가 등장인물 중 가장 비호감이다. 모든 단초가 된 것은 줄리앤 무어의 의부증 때문. 마지막 장면은 살인혐의가 적용 가능하지 않을까 싶다. 아들이 이 영화에서 차지하는 역할이 무엇인지 불분명하고 아들은 없어도 되는 쓸데없는 캐릭터였다. 연기들은 다들 괜찮았다. 아만다 사이프리드 또한 나쁘지 않았다.
미드나이트 스카이,17583140,7,말 없는 아이 Iris 는 Augustine 의 딸인 Sully 의 환영 일까? 그래서 마지막 대화에서의 목소리에 눈물을? 1961년 생인 나이 든 George Clooney 에 어울리는 잔잔한 흐름. 헌데 탐사선인 우주선을 타고 (개척선이 아닌) 단 둘이서 (태아까지 셋) 돌아간 들 거기선 어찌 생존할른지? 음... 만약 생존과 번영이 가능하다면 인종차별은 전혀 없겠구먼
아메리칸 메이드,17583139,7,좋은친구들의 택배 버전 평점 7.5
여수 밤바다,17583138,1,...음...? .... ?
발신제한,17583137,7,약간 지루한 면이 없진않지만 그래도 나름 볼만한 영화입니다.
제8일의 밤,17583136,2,0점. OO 태어나서 처음 남긴다.
산이 울다,17583135,7,대사 없이도 여인의 한과 애틋함이 전해진다
혈의 누,17583134,10,잘 만들어진 영화!!!
미드나이트,17583133,10,와 최근 본 영화중에 최고로 쫄리고 재밌는 영화. 코로나만 아니었어도 흥행 했을듯 너무 재밌어 연기 너무 잘해 감독 천재인데 사이코인듯. 보다가 소리 겁나 지름 너무 소름끼쳐!!!
리틀 데스,17583132,6,정말 아쉬움이 많다고 생각하는 영화네요.. 이 영화는 남들과는 다른 부분을 가진 사람들이 그들의  삶을 살아가는 서로 다른 다양한 과정을 볼수 있었습니다. 다만 이해 안됬던 부분이 성추행 자 가 나왔던 이유는 무엇인지 그리고 마지막 결말엔 왜 저런 결말을 낸건지 이해가 되지 않았습니다. 세상엔 오늘 내일 어떤일이 일어날지 모른다 라는 의미를 전하는 것처럼 뜬금이 없었습니다. 나머지는 다 힐링이 됬지만 결말부분을 그렇게 마무리하는게 맞는지 정말 아쉬운것 같네요.
워크래프트: 전쟁의 서막,17583131,10,2편이 나왔으면 좋겠어요 제발
아웃포스트,17583130,6,"믜칀놈들 알바들이 아니라면 대체 뭐가 재밌다고 빨아들대는 건지 진심으로 모르겠는데 장면장면 요소들 중에 몇 군데 현대적인 측면에서 신선한 요소나 전체적으로 약간 반 다큐같은 연출시점 이런건 나쁘진 않은데, 여튼 간 시작부터 내내 몰입 하나 안 되고 루즈한 잡담질에 전개에 작품성도 수준 개 떨어지고 전투씬은 흥미도라곤 없이 그저 조잡하고 난잡하기만한데, 애초에 올랜도블룸 특별출연이 아닌 주연으로 허수아비 박아놓고 낚은 다음 뭐 시작도 안 해놓고 죽여버릴 때 감들 안 잡히냐 머가리 빻은 놈들아 이게 재밌어? 애셰킈들 영화 잣도 뭘 모르겠으면 지금 당장이라도 20여년 전에 나온 블랙호크다운이나 라이언일병구하기라도 당장들 쳐 보고와서 평점 남겨라 진짜 니네들이 알바들이 아니라면. 아니면 최소한 가까운 시기에 12솔져스라도 보고 오던가. 그건 그렇고 미칀 것들 평식이도 그렇고 어차피 하루이틀 아니지만 저것들이 새삼 또 한번 전문가들이란다 점수들 준 것봐라...ㅋㅋㅋ 기가 차서 진짜."
발신제한,17583129,8,잘 봤어요 기대보단  그냥 그랬어요
아이 인 더 스카이,17583128,6,땅에떨어진빵다OO면안됨
미드나이트,17583127,10,방금 보고 나왔는데 기대를 안했는데 생각보다 재미있었어요. 연기자 분들 연기 잘하시고~ 좋았어요. 기대안하고 킬링타임해서 보셔요
콰이어트 플레이스 2,17583126,6,너무기대하고 보면안될듯..1보다 재미없음..
콰이어트 플레이스 2,17583125,10,속편은 1편보다 못하다는걸 깨뜨렸다
박화영,17583124,8,양아치들 우정은 절대오래못가 서로이용할뿐. 저렇게 몰려다니고 담배피고술마시고 욕하고 그러면 쎄보이고 뭐라도된거같고 하지만 결국 끝은 혼자남는거지. 10대들이 보면안되는영화지만 혹시라도보면 느꼈으면함. 다 부질없다고.
47 미터,17583123,10,기대하고 봤는데 재밌어욯ㅎ
미드나이트,17583122,1,진짜 한국 영화의 한계를 그대로 보여줌. 개연성 팔아먹은 스토리에 뻔한 클리셰 덕지덕지..ㅋㅋ 감독도 이런 영화 만든거 부끄러워 해야함. 그냥 본인 필모의 흑역사라고 생각해야..
제8일의 밤,17583121,10,평점 오ㅐ이런지..난 재밌게봄
낫아웃,17583120,6,그래서 인하대는 돈 안주고 들어갔단 말?
서유기 - 월광보합,17583119,10,
새콤달콤,17583118,10,재미는 있는데 끝이 먼가 ....그래도 독특해서 10점 드려요  그리고 여주 진짜 이쁘심
미드나이트,17583117,1,와 짜증 폭발 개연성 노노 엉망진창
서유기 2 - 선리기연,17583116,10,
크루엘라,17583115,10,쌍 엠마의 연기력과 매력은 최고였다
제8일의 밤,17583114,9,일점 남기시는 분들은다들 어떤 영화를 보고 자라신건지머리가 안돌아가서 이해를 잘 못하시는 분들은 안보시는게 맞구요조금만 이해돼도 재밌는영화인거같아요불교사상과 이어지는 스토리 영상미 모두 재밌게봤습니다
빛나는 순간,17583112,10,따스함 힐링가득이었어요 강력추천
딥 블루 씨,17583111,8,연구에 눈깔 돌아서 정신 나간뇬 하나때문에 극중 세계관 인류는 바다 근처는 얼씬도 못할뻔했다  발암이 굴릴뻔했던 작은 스노우볼
극장판 귀멸의 칼날: 무한열차편,17583110,10,렌고쿠…. 마지막에 한 대사들은 심금을 울린다..
제8일의 밤,17583109,6,"일단, 영화를 먼저 보고 평점을 봤습니다.안좋은 평가들이 많은데요..제 주관적인 느낌은 소재와 스토리는 아주 신선하고 섬뜩합니다.다만 연출이 아쉽긴 하네요."
발신제한,17583108,1,GV80 예쁘더라ㅋㅋㅋ
마녀 배달부 키키,17583107,10,정말 너무 좋음.생활밀착형 마녀라니.
배트맨 대 슈퍼맨: 저스티스의 시작,17583106,5,지금 저스티스 리그가 그나마 재밌다고 이 영화까지 재평가되는 괴상한 현상...재평가의 근거로 내미는 확장판은 극장판에 비해 일정 부분 괜찮아졌긴 한데(심지어 몇몇 부분은 꽤 치밀해져서 대단하다는 생각도 들긴 했는데) 제목 값 못하는 5분 전투+마사드립에 중간중간 저스티스 리그 떡밥 뿌려대면서 영화 맥을 끊어놓는 건 여전하다...특히 떡밥 뿌리기는 장면이 하나 추가되기까지 했으니..이번 스나이더의 저스티스 리그가 꽤나 괜찮다고 하더라도 잊지 말아야 한다..이 영화도 스나이더가 작업했다는 사실을.(물론 보다가 혈압 오른 웨던 버전의 저스티스 리그보다는 볼 만했음.)
크루엘라,17583105,6,"누군가에겐 취향저격일수도 있겠다는 생각은 듭니다. 가볍게 보기 좋을듯해요. 개인적으로는 영상미, 캐릭터 빼면 재미를 느낄만한 부분은 없었네요."
미드나이트,17583104,2,우리나라 영화 언제까지 경찰들 개호구로 그릴거임???? 아니 뭐 영화적허용이라고 해도 정도껏해야지 정도껏ㅋㅋㅋㅋ진짜 이정도면 경찰에 원한진거아님?  배우들 연기는 좋아요. 배우팬이면 볼만함
배틀트립 투 그리스,17583103,10,진짜 완전 쉴 틈 없이 웃김
동급생,17583102,10,"믿고보는카밍 ,,, 나도 분명 10대인데 왜 저런 풋풋한 연애를 못할까???"
발신제한,17583101,10,연기 배경 최고 흥미진진 액션영화
박화영,17583100,10,어린 날의 악몽같은 영화꿈이라면 깨기라도 하지그렇게 끝까지 화영이에게네가 없으면 안된다는 말을 해준 이는 아무도 없었다
크루엘라,17583099,10,아 진짜 말이 필요 없다 너무 재밌어요 ㅠㅠ
발신제한,17583098,6,내용이 어이없는데 이거 보고 눈물 흘린 내가 더 어이없습니다..
제8일의 밤,17583097,1,재미없어서 글 써보긴 처음입니다
노매드랜드,17583096,1,진짜 별로입니다 진짜 비추
베이직,17583095,6,반전이 영화의 전부는 아니자나... 밑밥 조금 깐다고 모두가 납득하는건 아니다.
아수라,17583094,10,형보수지를 찢고 싶은 어떤 도지사가 생각나네요..
제8일의 밤,17583093,1,공장에서 찍어내는듯한 똑같은 개노잼 억지감동 한국영화 만개중 한 개.
자백,17583092,6,악은 빛과 같다는 것. 모두를 내리쬐어 힘없는 자들을 말라죽게 한다.
야구소녀,17583091,10,
걸캅스,17583090,8,가족들과 모여서 가볍게 웃으며 볼만한 영화긴한데 범인이 상스러운 욕을 너무 많이해서 가족들이랑 다같이 볼수 있을지..
공범자들,17583089,6,억압은 어떻게 학습되고 대물림되는가.
괴기맨숀,17583088,1,그냥 노잼그자체 스폰지밥 메롱시티가 더 재밌을듯
고령화 가족,17583087,4,가족이라는 허울 좋은 미명으로 하늘을 가린 후 철지난 가곡을 읊다.
제8일의 밤,17583086,8,보기전에 평점이 안좋아서주저했는데 막상 시작하고나서부터는눈을 뗄수없이 긴장감있게 본거같아요제1일부터 제8일까지순차적으로 속도감있는 쫄깃한 전개가지루할 틈이 없네요연기의 신들 어찌 이리 캐스팅하셨을까요?ㅎ
미드나이트,17583085,1,고구만 9999만개 진짜 현실성이 떨어진다 한두번정도는 그냥 넘어가겠는데 어휴 진짜 답답함 그자체의 스토리
제8일의 밤,17583084,1,와 진짜 어떻게 이렇게 재미없게 영화를 만들 수가 있지? 우연을 가장한 트롤짓으로 전개도 느리고 개답답함 알바가 의도적으로 별점낮게준사람들 싫어요 누르네 ㅋㅋ 참고로 대구는 악이 시작된곳.(시민들도 불친절하게 나옴)전라도 광주는 악을 무찌르는곳이라는 지역감정 조장 정치적인것도 실려있습니다 쓰레기영화에요
타이타닉,17583083,10,말이 필요 없습니다 추천
극장판 귀멸의 칼날: 무한열차편,17583082,10,이 극장판은 렌고쿠가 진 주인공이다
승리호,17583081,1,"솔직히 cg 겁나 잘 넣음근데 문제는 뭐냐지금 우리는 지구에 살고있고영화의 사람들은 우주, 화성에 살고있음그게 흔하다는 전재하에 시작하는 느낌임(설명은 생략한다) + 흔한 클리셰는 덤= 그게 뭔데 하는 내용두 세 번은 봐야 이해될 듯"
미드나이트,17583080,8,미친싸패놈 보고있으니 영화보는 내내 기분이 ㅈ같았지만 싸패연기는 잘 했구나 싶음.진기주의 벙어리(?) 연기는 정말.. 대단하다 싶음. 난 진기주 목소리가 너무 좋아서 기대하고 갔는데 괴성밖에 못 들어서 너어무 아쉬웠지만 그래도 좋았음... 경찰이 살인범 놔줄 때 개빡쳤지만 현실적이라 생각함. 그리고 살해당할뻔 한 여자를 자가로 돌려보내면서 경찰들이 신경쓰고있다고 개뻥치고 아무 관심 안가지는 것도 아주 현실적이었음.그치만 영화보면서 너무 어이없었던 부분은여경이 총을 겨누고 있었다는 거임. 현실은 폰들고 동영상촬영하는데;;그리고 싸패놈이 칼들고 덤비려할때 다리 쏜 건 당연하다 싶었지만두번째 덤빌 때 허리 척추를 겨누고 서너발 갈겨버리는 시원함은 너무 비현실적이었다고 봄. 과연 한국경찰이?!이상 개소리였고 영화는 괜찮았다. 연기도 좋았다. 스토리도 괜찮았다고 본다. 근데 이 영화가 전하고자하는 바가 뭔가를 생각하면 띠용 한다.영화보고나면 멍하다. 영화보는내내 개빡치고답답해서 해피엔딩임에도 기분이 이상하다. 내가 이걸 왜 본거지? 아 진기주때문이었지? 끝.그리고 마지막까지 마음을 답답하게 하는 건...살인범 강간범도 즉결처형되는 일은 절대 없다. 현실에서 피해자들은 진기주와 엄마가 제주도해변에서 찐 미소 지으며 행복해하듯 마음놓을수가 없잖나. 얼마나 두렵고 불안할까. 가해자가 죽어도 꿈에나올텐데 살아있다는 게.보는내내 미국경찰이 생각나더라. 가해자 피해자를 딱 갈라놓는 장면이 떠오르면서 우리나라는 언제쯤 저게 될까 싶더라.경찰관계자들이 꼭 봤으면 하는 영화다. 딸 있는 아빠들은 불안해서 어떻게 애 밖에 내놓는걸까. 치안 엄청좋은 한국에서도 싸패ㅅㄲ만나면 끝인데ㅠㅠ 이나라에 총이 없는게 참 다행이다결론: 진기주 목소리 들으러 유튭으로 가겠다
미드나이트,17583079,6,고구마 먹다가 숨막혀서 죽는줄 알았어요^^..
익스포즈,17583078,6,키아누 리브스가 영화를 봤을지 궁금.아나 드 아르마스의 분량은 거의 완벽.   사실 감동.
제8일의 밤,17583077,1,감독 연출 제작자 각본가 양심 어디? 넷플릭스 이렇게 호구 잡힌적도 있을까 싶은 작품. 넷플릭스가 한국 투자 철회한다는 말이 흘러나오면 이 작품의 지분이 상당함
미드나이트,17583076,1,후하 고구마백만개천만개..영화보다가 나가고 싶은마음은 처음입니다..진기주님 연기는 훌륭했어요..0점
부활: 그 증거,17583075,2,죽음에 대한 담론을 듣고싶었지만 너무 기독교에 치우쳐있다. 사실상 기독교 선교영화
크루엘라,17583074,10,남자 혼자서 봤는데 그냥 존잼
발신제한,17583073,6,제네시스 광고더테러라이브조우진 연기력
아는 여자,17583072,10,이제야 봤는데 명작이네요!!
디파티드,17583071,10,이런 명작을 집에서 보다니...몰입감 최고
제8일의 밤,17583070,2,많이 아쉽다 좋은 소재를 연출로 표현 못함
에반게리온: Q,17583069,1,에반게리온 팬이 아니고서는 시간낭비. 평점 조절 위해 1점
솔저,17583068,10,말 없이 모든걸 표현했다.
빅 피쉬,17583067,8,라이프오브파이랑 포레스트검프를 합친느낌물론 빅피쉬자체로도 정말좋은영화예요 :)
